IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"Vochov
Za hlidtem
Na prickach
Osarov
Křimice
Příloha 2. Vyznačení zkoumaného úseku na mapě 1:10 000."	cs	(118, 130)	(905, 130)	(905, 1610)	(118, 1610)
image	Vochov		(225, 350)	(278, 351)	(278, 362)	(225, 361)
image	Za		(118, 500)	(131, 500)	(131, 509)	(118, 509)
image	hlidtem		(137, 500)	(178, 499)	(178, 507)	(137, 508)
image	Na		(327, 516)	(339, 516)	(339, 523)	(327, 523)
image	prickach		(343, 516)	(386, 516)	(386, 523)	(343, 523)
image	Osarov		(599, 130)	(619, 130)	(619, 136)	(599, 136)
image	Křimice		(688, 368)	(725, 369)	(725, 379)	(688, 378)
image	Příloha		(262, 1590)	(337, 1590)	(337, 1610)	(262, 1610)
image	2.		(344, 1590)	(364, 1590)	(364, 1610)	(344, 1610)
image	Vyznačení		(371, 1590)	(484, 1590)	(484, 1610)	(371, 1610)
image	zkoumaného		(490, 1590)	(626, 1590)	(626, 1610)	(490, 1610)
image	úseku		(634, 1590)	(696, 1590)	(696, 1610)	(634, 1610)
image	na		(706, 1590)	(731, 1590)	(731, 1610)	(706, 1610)
image	mapě		(739, 1590)	(798, 1590)	(798, 1610)	(739, 1610)
image	1:10		(807, 1590)	(852, 1590)	(852, 1610)	(807, 1610)
image	000		(859, 1590)	(899, 1590)	(899, 1610)	(859, 1610)
image	.		(899, 1590)	(905, 1590)	(905, 1610)	(899, 1610)
