area,content,TAB,TXT,IMG,HDR,TABs,TXTs,IMGs,HDRs,TAB_N,TXT_N,IMG_N,HDR_N,H_line,V_line,Form,Manuscript,Gallery,Front,long_l,short_l,Category_ID,Category,FILE,PAGE,TRUE
8391516,0,0,0,0,0,False,False,False,False,0,0,0,0,False,True,False,False,False,False,1579,1555,5,Gallery,CTX192101555,1,TEXT_HW
9145232,0,0,0,0,0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,1706,1116,5,Gallery,CTX192400463,1,TEXT_HW
4362320,0.05,0,0,1,0,False,False,True,False,0,0,1,0,True,True,False,False,False,False,275,432,3,Table,CTX192500097,1,TEXT_HW
10270564,0.19,0,1,0,0,False,True,False,False,0,15,0,0,True,True,False,False,False,False,961,18358,6,Figure-text,CTX192700172,2,TEXT_T
8933914,0,0,1,0,0,False,True,False,False,0,1,0,0,True,True,False,False,False,False,146,23880,6,Figure-text,CTX192700415,1,LINE_HW
4116432,0,0,0,0,0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,523,3260,5,Gallery,CTX192700593,16,PHOTO
10344398,0,0,1,0,0,False,True,False,False,0,1,0,0,True,True,False,False,False,False,905,17030,6,Figure-text,CTX192700593,27,TEXT_HW
4420746,0,0,0,0,0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,38,11594,5,Gallery,CTX192700593,31,TEXT_HW
10334214,0.01,0,1,0,0,False,True,False,False,0,1,0,0,True,True,False,False,False,False,622,22803,6,Figure-text,CTX192700593,40,TEXT_HW
8933914,0,0,0,0,0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,76,25446,5,Gallery,CTX192700593,42,TEXT_HW
5241814,0,0,0,0,0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,127,15020,5,Gallery,CTX192700883,2,TEXT_HW
4665432,0.78,0,0.01,0.99,0,False,True,True,False,0,1,1,0,True,True,False,False,True,False,56,7141,5,Gallery,CTX192701209,1,LINE_HW
7151796,0.08,0,0.55,0,0.45,False,True,False,True,0,7,0,1,True,True,False,False,False,False,141,19495,5,Gallery,CTX192800195,1,LINE_HW
9689753,0,0,0,0,0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,1158,11450,5,Gallery,CTX192801055,1,LINE_HW
17415167,0,0,0,0,0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,419,47427,5,Gallery,CTX192900372,1,LINE_HW
8376663,0,0,0,0,0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,2562,1507,5,Gallery,CTX193000993,1,TEXT_HW
10143264,0,0,0,0,0,False,False,False,False,0,0,0,0,False,True,False,False,False,False,2041,13717,5,Gallery,CTX193001304,1,TEXT_HW
10377496,0.73,0,0.04,0.96,0,False,True,True,False,0,2,2,0,False,False,False,False,True,False,1098,802,5,Gallery,CTX193001385,1,TEXT_HW
8917839,0,0,0,0,0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,1797,8406,5,Gallery,CTX193001762,1,TEXT_HW
5485517,0.71,0,0.01,0.99,0,False,True,True,True,0,1,2,1,True,True,False,False,True,False,3036,818,5,Gallery,CTX193100077,1,TEXT_HW
8557320,0.73,0,0,1,0,False,False,True,False,0,0,1,0,True,True,False,False,True,False,4116,8790,5,Gallery,CTX193100090,7,PHOTO
9955446,0,0,0,0,0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,5827,2215,5,Gallery,CTX193100253,10,TEXT_T
9997317,0.7,0,0.01,0.99,0,False,True,True,False,0,1,2,0,True,True,False,False,True,False,5443,1933,5,Gallery,CTX193100253,14,TEXT_T
