FILE,PAGE,CLASS-1,CLASS-2,CLASS-3,SCORE-1,SCORE-2,SCORE-3,CERTAIN
P043_00001_041,2,LINE,TEXT,DRAW,0.375,0.314,0.311,0.00085
CTX194604301,30,LINE,DRAW,TEXT,0.394,0.332,0.274,0.00237
CTX199706756,64,DRAW,LINE,TEXT,0.373,0.342,0.285,0.00133
CTX201603571,142,DRAW,LINE,TEXT,0.473,0.338,0.189,0.01352
CTX199706756,18,PHOTO,TEXT,LINE,0.429,0.375,0.196,0.00985
MTX202210033,26,DRAW,TEXT,LINE,0.36,0.323,0.316,0.00037
CTX199706756,16,PHOTO,TEXT,LINE,0.406,0.367,0.228,0.00583
MTX202300556,25,DRAW,LINE,TEXT,0.555,0.265,0.18,0.02572
MTX202210033,21,TEXT,DRAW,LINE,0.356,0.332,0.312,0.00032
MTX197001050,8,LINE,TEXT,DRAW,0.394,0.364,0.242,0.00434
MTX202210018,24,DRAW,TEXT,LINE,0.453,0.283,0.264,0.0072
MTX202210018,23,DRAW,TEXT,LINE,0.455,0.272,0.272,0.00743
CTX195600870,11,TEXT,LINE,PHOTO,0.388,0.308,0.304,0.00151
CTX193102237,5,DRAW,LINE,TEXT,0.408,0.305,0.287,0.00283
P043_00001_009,1,LINE,TEXT,DRAW,0.366,0.34,0.294,0.00088
CTX199706756,75,LINE,PHOTO,TEXT,0.349,0.345,0.307,0.00036
MTX202210023f,54,TEXT,LINE,DRAW,0.368,0.324,0.308,0.00064
CTX195600870,10,LINE,TEXT,PHOTO,0.369,0.335,0.296,0.00089
MTX197001050,7,LINE,TEXT,DRAW,0.383,0.374,0.243,0.00411
MTX202300556,18,PHOTO,LINE,TEXT,0.387,0.316,0.298,0.00147
MTX202210018,25,DRAW,TEXT,LINE,0.478,0.272,0.25,0.01054
MTX202300556,16,DRAW,LINE,TEXT,0.505,0.285,0.21,0.01571
MTX197001050,9,LINE,DRAW,TEXT,0.411,0.37,0.219,0.0068
MTX202300556,24,PHOTO,LINE,TEXT,0.417,0.316,0.267,0.00387
CTX199706756,17,PHOTO,TEXT,LINE,0.429,0.324,0.247,0.00551
MTX202300556,23,PHOTO,LINE,TEXT,0.38,0.317,0.303,0.00114
CTX199706756,65,LINE,DRAW,TEXT,0.414,0.298,0.288,0.0033
MTX202210033,29,LINE,TEXT,DRAW,0.341,0.338,0.321,8e-05
CTX199706756,19,PHOTO,TEXT,LINE,0.455,0.359,0.186,0.01238
P043_00001_041,3,LINE,TEXT,DRAW,0.397,0.301,0.301,0.00205
MTX202210023f,55,LINE,TEXT,DRAW,0.366,0.341,0.294,0.00089
CTX199706756,74,LINE,PHOTO,TEXT,0.369,0.321,0.31,0.00067
CTX194604301,27,TEXT,DRAW,LINE,0.492,0.306,0.203,0.01431
CTX201603571,120,PHOTO,LINE,TEXT,0.42,0.382,0.198,0.0094
CTX201603571,127,PHOTO,LINE,TEXT,0.452,0.329,0.219,0.00908
MTX201891306,2,LINE,TEXT,DRAW,0.487,0.298,0.215,0.01291
CTX199400067D,12,TEXT,PHOTO,LINE,0.395,0.306,0.298,0.00193
P043_00001_004,10,LINE,TEXT,DRAW,0.473,0.312,0.215,0.01135
CTX199706756,77,PHOTO,TEXT,LINE,0.366,0.332,0.302,0.00069
MTX202210023f,56,TEXT,LINE,DRAW,0.389,0.351,0.259,0.00297
CTX199400067B,46,PHOTO,DRAW,LINE,0.403,0.299,0.299,0.00243
CTX199400067B,48,TEXT,PHOTO,LINE,0.414,0.315,0.271,0.00357
MTX201891306,1,TEXT,LINE,DRAW,0.362,0.351,0.286,0.00113
CTX198702238A,23,LINE,TEXT,DRAW,0.426,0.387,0.187,0.01101
CTX199706756,79,DRAW,LINE,TEXT,0.381,0.313,0.306,0.00115
CTX201603571,123,PHOTO,LINE,TEXT,0.436,0.357,0.207,0.00899
CTX198702238A,24,LINE,TEXT,DRAW,0.418,0.338,0.244,0.00505
CTX193102237,9,DRAW,LINE,TEXT,0.366,0.335,0.299,0.00075
CTX199400067D,11,TEXT,PHOTO,LINE,0.386,0.314,0.299,0.00144
CTX195600870,14,TEXT,PHOTO,LINE,0.366,0.342,0.292,0.00095
CTX200502635,14,PHOTO,TEXT,LINE,0.374,0.371,0.255,0.00307
CTX195600870,13,TEXT,PHOTO,LINE,0.355,0.324,0.32,0.00024
CTX200502635,13,PHOTO,LINE,TEXT,0.39,0.362,0.248,0.00374
CTX199400067B,10,LINE,DRAW,TEXT,0.383,0.326,0.291,0.00144
MTX202210033,16,LINE,TEXT,DRAW,0.341,0.334,0.324,5e-05
CTX199706756,21,PHOTO,TEXT,LINE,0.456,0.357,0.187,0.01232
CTX199706756,68,DRAW,LINE,TEXT,0.368,0.325,0.307,0.00065
CTX194604301,32,DRAW,TEXT,LINE,0.389,0.315,0.296,0.00162
CTX199706756,66,DRAW,LINE,TEXT,0.406,0.336,0.258,0.00367
CTX199400067D,10,DRAW,PHOTO,LINE,0.38,0.316,0.304,0.00112
CTX193102237,6,DRAW,LINE,TEXT,0.436,0.286,0.279,0.00525
P043_00001_009,2,LINE,TEXT,DRAW,0.373,0.363,0.264,0.00242
CTX201603571,117,PHOTO,LINE,TEXT,0.429,0.366,0.206,0.00882
CTX198702238A,22,DRAW,LINE,TEXT,0.369,0.319,0.312,0.00064
CTX199400067B,47,TEXT,PHOTO,DRAW,0.377,0.322,0.3,0.00105
MTX202210023f,57,LINE,TEXT,DRAW,0.408,0.313,0.279,0.00295
CTX194004617,1,LINE,TEXT,DRAW,0.461,0.31,0.229,0.00927
CTX199706756,76,PHOTO,TEXT,LINE,0.375,0.345,0.28,0.0016
CTX199706756,67,DRAW,LINE,TEXT,0.352,0.338,0.31,0.00031
P043_00002_014,11,DRAW,TEXT,LINE,0.355,0.336,0.309,0.00034
CTX201603571,141,DRAW,LINE,TEXT,0.462,0.372,0.167,0.01525
CTX194604301,33,LINE,DRAW,TEXT,0.391,0.351,0.258,0.00309
MTX202300556,26,PHOTO,LINE,TEXT,0.459,0.331,0.21,0.01035
CTX199400067A,69,LINE,DRAW,TEXT,0.37,0.32,0.31,0.00068
MTX202210033,22,TEXT,DRAW,LINE,0.344,0.338,0.318,0.00013
CTX199706756,20,PHOTO,TEXT,LINE,0.422,0.377,0.201,0.00913
CTX199400067B,11,DRAW,LINE,TEXT,0.399,0.304,0.297,0.00214
MTX202210033,17,DRAW,LINE,TEXT,0.343,0.333,0.323,7e-05
CTX195600870,12,TEXT,LINE,PHOTO,0.365,0.346,0.289,0.00104
CTX200502635,12,PHOTO,LINE,TEXT,0.381,0.374,0.245,0.00392
CTX194300428,1,LINE,DRAW,TEXT,0.391,0.347,0.263,0.00281
CTX195600870,15,TEXT,PHOTO,LINE,0.352,0.331,0.317,0.00021
CTX200502635,15,PHOTO,TEXT,LINE,0.397,0.387,0.215,0.00699
