FILE,PAGE,CLASS-1,CLASS-2,CLASS-3,CLASS-4,CLASS-5,SCORE-1,SCORE-2,SCORE-3,SCORE-4,SCORE-5,CERTAIN,PHOTO,DRAW,LINE,TEXT
P043_00001_041,2,TEXT,DRAW_L,TEXT_T,DRAW,LINE_T,0.335,0.219,0.179,0.139,0.127,0.00557,0.09,0.27,0.312,0.327
CTX194604301,30,DRAW_L,LINE_HW,LINE_T,TEXT_T,TEXT_HW,0.241,0.215,0.208,0.208,0.128,0.00145,0.075,0.138,0.357,0.429
CTX199706756,64,DRAW_L,TEXT_HW,LINE_HW,TEXT_T,LINE_T,0.273,0.23,0.195,0.152,0.149,0.00223,0.069,0.153,0.408,0.369
CTX201603571,142,LINE_P,PHOTO_L,LINE_T,LINE_HW,TEXT_T,0.375,0.185,0.173,0.161,0.105,0.00842,0.162,0.105,0.345,0.387
CTX199706756,18,LINE_T,PHOTO_L,LINE_P,LINE_HW,TEXT_T,0.374,0.187,0.156,0.141,0.141,0.00785,0.141,0.108,0.381,0.369
MTX202210033,26,PHOTO,TEXT_P,DRAW_L,TEXT_T,LINE_T,0.344,0.189,0.176,0.168,0.123,0.00569,0.111,0.192,0.336,0.36
CTX199706756,16,PHOTO_L,LINE_P,LINE_T,LINE_HW,TEXT_T,0.401,0.21,0.142,0.139,0.109,0.01117,0.123,0.093,0.393,0.39
MTX202300556,25,TEXT_T,PHOTO,DRAW,LINE_T,TEXT,0.564,0.155,0.112,0.091,0.077,0.03389,0.081,0.135,0.198,0.586
MTX202210033,21,PHOTO,TEXT_P,DRAW_L,TEXT_T,LINE_T,0.336,0.196,0.18,0.163,0.125,0.00517,0.108,0.204,0.324,0.363
MTX197001050,8,LINE_HW,DRAW_L,LINE_T,DRAW,TEXT,0.311,0.258,0.213,0.112,0.105,0.00652,0.063,0.297,0.264,0.375
MTX202210018,24,DRAW_L,TEXT_HW,TEXT_T,LINE_T,LINE_HW,0.404,0.232,0.131,0.131,0.101,0.01243,0.072,0.111,0.559,0.258
MTX202210018,23,DRAW_L,TEXT_T,TEXT_HW,LINE_T,LINE_HW,0.398,0.204,0.156,0.13,0.112,0.01075,0.078,0.117,0.532,0.273
CTX195600870,11,DRAW_L,TEXT,TEXT_T,PHOTO,LINE_T,0.313,0.237,0.164,0.16,0.127,0.00449,0.18,0.177,0.33,0.312
CTX193102237,5,DRAW,PHOTO,TEXT,LINE_T,TEXT_T,0.316,0.224,0.186,0.156,0.118,0.00459,0.123,0.147,0.267,0.462
P043_00001_009,1,LINE_HW,TEXT,DRAW_L,DRAW,LINE_T,0.333,0.203,0.191,0.163,0.11,0.00548,0.078,0.291,0.336,0.294
CTX199706756,75,TEXT_P,TEXT_HW,LINE_T,TEXT_T,LINE_HW,0.325,0.204,0.192,0.179,0.1,0.00523,0.111,0.114,0.396,0.378
MTX202210023f,54,PHOTO,DRAW_L,DRAW,LINE_T,TEXT,0.412,0.241,0.231,0.071,0.044,0.01765,0.042,0.267,0.261,0.429
CTX195600870,10,TEXT,DRAW_L,TEXT_T,PHOTO,LINE_T,0.337,0.236,0.188,0.148,0.092,0.00694,0.183,0.171,0.327,0.318
MTX197001050,7,DRAW_L,LINE_HW,LINE_T,DRAW,TEXT,0.39,0.302,0.175,0.084,0.049,0.01667,0.036,0.321,0.243,0.399
MTX202300556,18,LINE_HW,DRAW,LINE_T,PHOTO,TEXT,0.391,0.207,0.199,0.122,0.082,0.01133,0.171,0.123,0.267,0.438
MTX202210018,25,DRAW_L,TEXT_T,TEXT_HW,LINE_T,LINE_HW,0.431,0.225,0.122,0.115,0.107,0.01524,0.084,0.126,0.547,0.243
MTX202300556,16,LINE_HW,DRAW,PHOTO,LINE_T,TEXT,0.538,0.187,0.108,0.108,0.06,0.03017,0.093,0.138,0.231,0.538
MTX197001050,9,LINE_HW,DRAW_L,LINE_T,DRAW,TEXT,0.362,0.273,0.218,0.085,0.062,0.01279,0.048,0.303,0.264,0.384
MTX202300556,24,LINE_HW,DRAW,PHOTO,LINE_T,TEXT,0.545,0.184,0.104,0.1,0.067,0.03121,0.087,0.123,0.234,0.556
CTX199706756,17,LINE_P,PHOTO_L,LINE_T,LINE_HW,TEXT_T,0.352,0.199,0.153,0.149,0.146,0.00619,0.174,0.093,0.39,0.342
MTX202300556,23,DRAW_L,LINE_P,LINE_T,PHOTO,TEXT,0.349,0.237,0.198,0.124,0.092,0.00817,0.18,0.132,0.306,0.381
CTX199706756,65,DRAW_L,TEXT_HW,LINE_HW,TEXT_T,LINE_T,0.259,0.227,0.183,0.18,0.151,0.00145,0.075,0.153,0.384,0.387
MTX202210033,29,LINE_HW,TEXT_P,TEXT_T,DRAW_L,LINE_T,0.34,0.196,0.191,0.157,0.115,0.00577,0.096,0.198,0.348,0.357
CTX199706756,19,LINE_P,PHOTO_L,LINE_T,LINE_HW,TEXT_T,0.37,0.204,0.151,0.14,0.136,0.0078,0.153,0.078,0.39,0.378
P043_00001_041,3,PHOTO,TEXT,TEXT_T,DRAW,LINE_T,0.332,0.245,0.174,0.13,0.119,0.00632,0.093,0.276,0.318,0.312
MTX202210023f,55,LINE_HW,DRAW_L,DRAW,LINE_T,TEXT,0.431,0.24,0.237,0.046,0.046,0.02074,0.036,0.258,0.267,0.438
CTX199706756,74,TEXT_P,TEXT_HW,TEXT_T,LINE_HW,LINE_T,0.251,0.242,0.182,0.173,0.152,0.00156,0.102,0.108,0.384,0.405
CTX194604301,27,DRAW_L,TEXT_T,TEXT_P,LINE_T,LINE_HW,0.281,0.275,0.176,0.159,0.11,0.00448,0.072,0.159,0.42,0.348
CTX201603571,120,LINE_P,LINE_T,PHOTO_L,LINE_HW,TEXT_T,0.344,0.188,0.172,0.172,0.125,0.00561,0.156,0.084,0.372,0.387
CTX201603571,127,TEXT_HW,PHOTO_L,LINE_T,LINE_HW,TEXT_T,0.396,0.204,0.162,0.154,0.085,0.01108,0.144,0.093,0.345,0.417
MTX201891306,2,DRAW,LINE_HW,TEXT_T,LINE_T,DRAW_L,0.386,0.232,0.174,0.113,0.096,0.01094,0.033,0.423,0.309,0.234
CTX199400067D,12,DRAW_L,TEXT_T,LINE_T,TEXT_HW,LINE_HW,0.336,0.183,0.18,0.175,0.126,0.00508,0.108,0.135,0.414,0.342
P043_00001_004,10,LINE_HW,DRAW,TEXT_T,LINE_T,DRAW_L,0.471,0.21,0.173,0.075,0.071,0.02134,0.045,0.483,0.255,0.216
CTX199706756,77,PHOTO,TEXT_HW,LINE_T,TEXT_T,LINE_HW,0.336,0.188,0.183,0.177,0.117,0.00528,0.129,0.099,0.413,0.358
MTX202210023f,56,TEXT_T,DRAW_L,DRAW,LINE_T,TEXT,0.367,0.276,0.227,0.066,0.063,0.01422,0.045,0.252,0.3,0.402
CTX199400067B,46,TEXT_HW,TEXT_T,DRAW_L,LINE_T,LINE_HW,0.354,0.219,0.167,0.154,0.107,0.00718,0.123,0.186,0.441,0.249
CTX199400067B,48,TEXT,LINE_P,DRAW_L,PHOTO,LINE_T,0.463,0.196,0.15,0.096,0.096,0.01863,0.159,0.15,0.462,0.228
MTX201891306,1,TEXT_P,PHOTO,DRAW_L,TEXT_T,LINE_T,0.279,0.198,0.185,0.171,0.167,0.00167,0.132,0.222,0.279,0.366
CTX198702238A,23,DRAW,DRAW_L,TEXT_T,LINE_T,TEXT_P,0.278,0.258,0.181,0.157,0.125,0.00346,0.081,0.21,0.267,0.441
CTX199706756,79,TEXT_P,TEXT_HW,TEXT_T,LINE_HW,LINE_T,0.252,0.25,0.208,0.173,0.117,0.00258,0.111,0.129,0.378,0.381
CTX201603571,123,LINE_P,LINE_T,PHOTO_L,LINE_HW,TEXT_T,0.378,0.187,0.159,0.143,0.131,0.00831,0.162,0.102,0.348,0.387
CTX198702238A,24,TEXT_T,TEXT_P,DRAW_L,LINE_HW,LINE_T,0.261,0.207,0.183,0.179,0.17,0.00107,0.096,0.21,0.345,0.348
CTX193102237,9,DRAW,PHOTO,TEXT,TEXT_T,LINE_T,0.292,0.287,0.166,0.146,0.109,0.00569,0.123,0.144,0.306,0.426
CTX199400067D,11,DRAW_L,TEXT_T,TEXT_HW,LINE_T,LINE_HW,0.337,0.229,0.192,0.148,0.093,0.00677,0.123,0.105,0.431,0.34
CTX195600870,14,TEXT_T,LINE_HW,TEXT,PHOTO,LINE_T,0.285,0.243,0.167,0.157,0.149,0.00293,0.174,0.141,0.354,0.33
CTX200502635,14,LINE_T,LINE_HW,LINE_P,PHOTO_L,TEXT_T,0.266,0.232,0.185,0.162,0.155,0.00181,0.216,0.066,0.408,0.309
CTX195600870,13,TEXT_P,TEXT_T,DRAW_L,PHOTO,LINE_T,0.304,0.224,0.165,0.16,0.147,0.00341,0.153,0.198,0.312,0.336
CTX200502635,13,LINE_T,LINE_P,LINE_HW,PHOTO_L,TEXT_T,0.327,0.221,0.174,0.142,0.135,0.00497,0.213,0.063,0.381,0.342
CTX199400067B,10,TEXT_HW,LINE_HW,DRAW_L,TEXT_T,LINE_T,0.3,0.264,0.172,0.16,0.104,0.00514,0.075,0.192,0.36,0.372
MTX202210033,16,PHOTO,DRAW_L,TEXT_P,TEXT_T,LINE_T,0.307,0.206,0.197,0.172,0.118,0.0038,0.102,0.186,0.318,0.393
