content,TAB,TXT,IMG,HDR,TABs,TXTs,IMGs,HDRs,TAB_N,TXT_N,IMG_N,HDR_N,H_line,V_line,Form,Manuscript,Gallery,Front,FILE,PAGE,Category_ID,Category
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,CTX194604301,1,3,Table
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,CTX194604301,10,3,Table
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,CTX194604301,11,3,Table
0.75,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,True,False,False,True,False,CTX194604301,12,5,Gallery
0.89,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,True,False,False,True,False,CTX194604301,13,5,Gallery
0.88,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,True,False,False,True,False,CTX194604301,14,5,Gallery
0.85,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,True,False,False,True,False,CTX194604301,15,5,Gallery
0.76,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,True,False,False,True,False,CTX194604301,16,5,Gallery
0.88,0.98,0.02,0.0,0.0,True,True,False,False,1,1,0,0,True,True,True,False,False,False,CTX194604301,17,1,Form
0.87,0.99,0.01,0.0,0.0,True,True,False,False,1,1,0,0,True,True,True,False,False,False,CTX194604301,18,1,Form
0.83,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,True,False,False,True,False,CTX194604301,19,5,Gallery
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,CTX194604301,2,3,Table
0.88,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,True,False,False,True,False,CTX194604301,20,5,Gallery
0.85,0.0,0.03,0.97,0.0,False,True,True,False,0,1,1,0,True,True,False,False,True,False,CTX194604301,21,5,Gallery
0.86,0.98,0.02,0.0,0.0,True,True,False,False,1,1,0,0,True,True,True,False,False,False,CTX194604301,22,1,Form
0.85,0.0,0.03,0.97,0.0,False,True,True,False,0,1,1,0,True,True,False,False,True,False,CTX194604301,23,5,Gallery
0.85,0.98,0.02,0.0,0.0,True,True,False,False,1,1,0,0,True,True,True,False,False,False,CTX194604301,24,1,Form
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,CTX194604301,25,3,Table
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,False,False,False,False,False,CTX194604301,26,1,Form
0.83,0.86,0.0,0.14,0.0,True,False,True,False,2,0,1,0,True,True,True,False,False,False,CTX194604301,27,2,Form-figure
1.4,0.98,0.02,0.0,0.0,True,True,False,False,2,2,0,0,True,False,True,False,False,False,CTX194604301,28,1,Form
1.2,0.74,0.03,0.23,0.0,True,True,True,False,2,1,1,0,False,True,True,False,False,False,CTX194604301,29,2,Form-figure
0.57,0.0,1.0,0.0,0.0,False,True,False,True,0,6,0,1,True,False,False,True,False,False,CTX194604301,3,4,Text-body
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,False,False,False,False,False,CTX194604301,30,1,Form
0.42,0.0,0.0,1.0,0.0,False,False,True,False,0,0,2,0,False,False,False,False,False,False,CTX194604301,31,5,Gallery
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,False,False,False,False,False,False,CTX194604301,32,10,Neither
0.66,0.0,0.04,0.96,0.0,False,True,True,False,0,2,1,0,True,False,False,False,True,False,CTX194604301,33,5,Gallery
0.88,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,False,False,False,False,True,False,CTX194604301,34,5,Gallery
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,False,False,False,False,False,CTX194604301,35,1,Form
0.27,0.0,0.02,0.98,0.0,False,True,True,False,0,1,1,0,True,False,False,False,False,False,CTX194604301,36,5,Gallery
0.8,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,False,True,False,False,True,False,CTX194604301,37,5,Gallery
1.88,0.87,0.0,0.13,0.0,True,False,True,True,6,0,2,1,False,True,True,False,False,False,CTX194604301,38,2,Form-figure
1.42,0.98,0.02,0.0,0.0,True,True,False,False,2,2,0,0,False,False,True,False,False,False,CTX194604301,39,1,Form
0.11,0.0,1.0,0.0,0.0,False,True,False,False,0,1,0,0,True,True,False,False,False,False,CTX194604301,4,3,Table
0.29,0.0,0.02,0.98,0.0,False,True,True,False,0,1,2,0,False,False,False,False,False,False,CTX194604301,40,5,Gallery
0.73,0.0,0.12,0.88,0.0,False,True,True,False,0,1,1,0,True,False,False,False,True,False,CTX194604301,41,5,Gallery
0.64,0.0,0.01,0.99,0.0,False,True,True,False,0,1,4,0,True,False,False,False,True,False,CTX194604301,42,5,Gallery
1.4,0.98,0.02,0.0,0.0,True,True,False,False,2,2,0,0,True,True,True,False,False,False,CTX194604301,43,1,Form
0.88,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,False,False,False,False,True,False,CTX194604301,44,5,Gallery
0.79,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,False,False,False,True,False,CTX194604301,45,5,Gallery
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,CTX194604301,46,3,Table
0.82,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,False,False,False,True,False,CTX194604301,47,5,Gallery
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,CTX194604301,48,3,Table
0.07,0.0,0.97,0.0,0.03,False,True,False,True,0,4,0,1,False,False,False,False,False,False,CTX194604301,49,8,Headers-text
0.67,0.0,1.0,0.0,0.0,False,True,False,False,0,3,0,0,True,True,False,True,False,False,CTX194604301,5,4,Text-body
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,False,False,False,False,False,CTX194604301,50,1,Form
0.74,0.0,0.0,1.0,0.0,False,False,True,False,0,0,2,0,True,False,False,False,True,False,CTX194604301,51,5,Gallery
0.03,0.0,1.0,0.0,0.0,False,True,False,False,0,2,0,0,True,False,False,False,False,False,CTX194604301,52,1,Form
0.81,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,True,False,False,True,False,CTX194604301,53,5,Gallery
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,False,False,False,False,False,CTX194604301,54,1,Form
0.05,0.0,0.98,0.0,0.02,False,True,False,True,0,3,0,1,True,False,False,False,False,False,CTX194604301,55,8,Headers-text
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,False,False,False,False,False,False,CTX194604301,56,10,Neither
0.82,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,True,False,False,True,False,CTX194604301,57,5,Gallery
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,CTX194604301,58,3,Table
0.67,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,False,False,False,True,False,CTX194604301,59,5,Gallery
0.68,0.0,1.0,0.0,0.0,False,True,False,False,0,5,0,0,True,True,False,True,False,False,CTX194604301,6,4,Text-body
0.88,0.99,0.01,0.0,0.0,True,True,False,False,1,1,0,0,True,False,True,False,False,False,CTX194604301,60,1,Form
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,CTX194604301,7,3,Table
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,CTX194604301,8,3,Table
0.82,0.99,0.01,0.0,0.0,True,True,False,False,1,1,0,0,True,True,True,False,False,False,CTX194604301,9,1,Form
