TAB,TXT,IMG,FILE,PAGE,Category_ID,Category
0.86,0.0,0.0,CTX192601320,1,1,Form
0.78,0.0,0.0,CTX192901243,1,1,Form
0.85,0.0,0.0,CTX192901243,2,1,Form
0.0,0.24,0.11,CTX192901243,3,5,Figure-text
0.46,0.01,0.3,CTX192901243,4,4,Table-text
0.0,0.0,0.85,CTX193000229,1,3,Gallery
0.83,0.0,0.0,CTX193000229,2,1,Form
0.76,0.0,0.0,CTX193000229,3,1,Form
0.85,0.0,0.0,CTX193102237,1,1,Form
0.85,0.0,0.0,CTX193102237,2,1,Form
0.85,0.0,0.0,CTX193102237,3,1,Form
0.85,0.0,0.0,CTX193102237,4,1,Form
0.86,0.0,0.0,CTX193102237,5,1,Form
0.82,0.0,0.0,CTX193102237,6,1,Form
0.86,0.0,0.0,CTX193102237,7,1,Form
0.89,0.0,0.0,CTX193102237,8,1,Form
0.82,0.0,0.0,CTX193102237,9,1,Form
0.83,0.0,0.0,CTX194003463,1,1,Form
0.0,0.29,0.09,CTX194004617,1,5,Figure-text
0.85,0.0,0.0,CTX194103705,1,1,Form
0.84,0.0,0.0,CTX194103705,2,1,Form
0.79,0.0,0.0,CTX194103705,3,1,Form
0.0,0.26,0.23,CTX194300428,1,10,Figure-title
0.0,0.08,0.0,CTX194401342,1,2,Text-body
0.0,0.17,0.15,CTX194501522,1,5,Figure-text
0.65,0.0,0.0,CTX194600790,1,4,Table-text
0.81,0.0,0.0,CTX194604301,1,1,Form
0.81,0.0,0.0,CTX194604301,10,1,Form
0.83,0.0,0.0,CTX194604301,11,1,Form
0.0,0.0,0.75,CTX194604301,12,3,Gallery
0.0,0.0,0.89,CTX194604301,13,3,Gallery
0.0,0.0,0.88,CTX194604301,14,3,Gallery
0.0,0.0,0.85,CTX194604301,15,3,Gallery
0.0,0.0,0.76,CTX194604301,16,3,Gallery
0.86,0.02,0.0,CTX194604301,17,4,Table-text
0.85,0.01,0.0,CTX194604301,18,4,Table-text
0.0,0.0,0.83,CTX194604301,19,3,Gallery
0.82,0.0,0.0,CTX194604301,2,1,Form
0.0,0.0,0.88,CTX194604301,20,3,Gallery
0.0,0.02,0.83,CTX194604301,21,5,Figure-text
0.85,0.02,0.0,CTX194604301,22,4,Table-text
0.0,0.02,0.83,CTX194604301,23,5,Figure-text
0.82,0.02,0.0,CTX194604301,24,4,Table-text
0.86,0.0,0.0,CTX194604301,25,1,Form
0.77,0.0,0.0,CTX194604301,26,1,Form
0.72,0.0,0.12,CTX194604301,27,11,Form-figure
0.69,0.02,0.0,CTX194604301,28,4,Table-text
0.44,0.04,0.27,CTX194604301,29,4,Table-text
0.0,0.57,0.0,CTX194604301,3,6,Headers-text
0.64,0.0,0.0,CTX194604301,30,1,Form
0.0,0.0,0.42,CTX194604301,31,3,Gallery
0.69,0.0,0.0,CTX194604301,32,1,Form
0.0,0.03,0.63,CTX194604301,33,5,Figure-text
