content,TAB,TXT,IMG,HDR,TABs,TXTs,IMGs,HDRs,TAB_N,TXT_N,IMG_N,HDR_N,H_line,V_line,Form,Manuscript,Gallery,Front,FILE,PAGE,Category_ID,Category
0.07,0.0,1.0,0.0,0.0,False,True,False,False,0,7,0,0,False,True,False,False,False,False,CTX199706756,1,9,Mixed
0.13,0.0,0.58,0.42,0.0,False,True,True,False,0,8,1,0,True,True,False,False,False,False,CTX199706756,10,5,Gallery
0.0,0.0,1.0,0.0,0.0,False,True,False,False,0,1,0,0,False,True,False,False,False,False,CTX199706756,11,9,Mixed
1.43,0.99,0.01,0.0,0.0,True,True,False,False,6,3,0,0,True,False,True,False,False,False,CTX199706756,12,1,Form
1.44,0.99,0.01,0.0,0.0,True,True,False,False,6,3,0,0,True,False,True,False,False,False,CTX199706756,13,1,Form
1.04,0.98,0.02,0.0,0.0,True,True,False,False,4,2,0,0,True,True,True,False,False,False,CTX199706756,14,1,Form
1.44,0.99,0.01,0.0,0.0,True,True,False,False,6,3,0,0,True,True,True,False,False,False,CTX199706756,15,1,Form
0.97,0.98,0.02,0.0,0.0,True,True,False,False,4,2,0,0,True,True,True,False,False,False,CTX199706756,16,1,Form
0.98,0.99,0.01,0.0,0.0,True,True,False,False,4,2,0,0,True,False,True,False,False,False,CTX199706756,17,1,Form
0.5,0.98,0.02,0.0,0.0,True,True,False,False,2,1,0,0,True,True,False,False,False,False,CTX199706756,18,1,Form
1.44,0.99,0.01,0.0,0.0,True,True,False,False,6,3,0,0,True,True,True,False,False,False,CTX199706756,19,1,Form
0.39,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,True,False,False,False,False,CTX199706756,2,5,Gallery
0.95,0.99,0.01,0.0,0.0,True,True,False,False,4,2,0,0,False,True,True,False,False,False,CTX199706756,20,1,Form
1.44,0.99,0.01,0.0,0.0,True,True,False,False,6,3,0,0,True,True,True,False,False,False,CTX199706756,21,1,Form
1.43,0.99,0.01,0.0,0.0,True,True,False,False,6,3,0,0,True,True,True,False,False,False,CTX199706756,22,1,Form
0.5,0.98,0.02,0.0,0.0,True,True,False,False,2,1,0,0,True,True,False,False,False,False,CTX199706756,23,1,Form
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,CTX199706756,24,3,Table
1.61,0.99,0.01,0.0,0.0,True,True,False,False,6,3,0,0,True,True,True,False,False,False,CTX199706756,25,1,Form
1.52,0.99,0.01,0.0,0.0,True,True,False,False,6,3,0,0,True,False,True,False,False,False,CTX199706756,26,1,Form
1.87,0.99,0.01,0.0,0.0,True,True,False,False,8,4,0,0,True,True,True,False,False,False,CTX199706756,27,1,Form
1.41,0.99,0.01,0.0,0.0,True,True,False,False,6,3,0,0,True,True,True,False,False,False,CTX199706756,28,1,Form
1.85,0.99,0.01,0.0,0.0,True,True,False,False,8,4,0,0,True,True,True,False,False,False,CTX199706756,29,1,Form
0.07,0.0,1.0,0.0,0.0,False,True,False,False,0,1,0,0,False,True,False,False,False,False,CTX199706756,3,9,Mixed
1.47,0.99,0.01,0.0,0.0,True,True,False,False,6,3,0,0,True,True,True,False,False,False,CTX199706756,30,1,Form
1.56,0.99,0.01,0.0,0.0,True,True,False,False,6,3,0,0,True,True,True,False,False,False,CTX199706756,31,1,Form
0.99,0.98,0.02,0.0,0.0,True,True,False,False,4,2,0,0,True,True,True,False,False,False,CTX199706756,32,1,Form
0.01,0.0,1.0,0.0,0.0,False,True,False,False,0,1,0,0,False,True,False,False,False,False,CTX199706756,33,9,Mixed
