Form,Form-figure,Table,Text-body,Gallery,Figure-text,Table-text,Headers-text,Mixed,Neither,FILE,SIZE
0,0,1,0,0,0,0,0,0,0,CTX192601320,1
0,1,1,0,1,0,0,0,0,1,CTX192901243,4
0,0,2,0,1,0,0,0,0,0,CTX193000229,3
0,0,9,0,0,0,0,0,0,0,CTX193102237,9
0,0,1,0,0,0,0,0,0,0,CTX194003463,1
0,0,0,0,1,0,0,0,0,0,CTX194004617,1
1,0,1,0,0,0,0,0,0,1,CTX194103705,3
0,0,0,0,1,0,0,0,0,0,CTX194300428,1
0,0,0,0,0,0,0,0,1,0,CTX194401342,1
0,0,0,0,1,0,0,0,0,0,CTX194501522,1
1,0,0,0,0,0,0,0,0,0,CTX194600790,1
15,3,11,3,24,0,0,2,0,2,CTX194604301,60
1,0,0,0,1,0,0,0,0,0,CTX195105285,2
1,0,0,0,0,0,0,0,0,0,CTX195204980,1
2,0,2,8,3,0,0,0,0,0,CTX195600870,15
0,0,0,0,1,0,0,0,0,0,CTX195802521,1
1,0,0,0,0,0,1,0,0,0,CTX197003412,2
0,0,1,0,0,0,0,0,0,0,CTX197402976,1
0,1,0,0,0,0,0,0,0,0,CTX197802841,1
0,0,0,1,2,0,0,0,0,0,CTX197904722,3
3,0,1,0,0,0,0,0,0,0,CTX198402735,4
0,0,0,0,0,0,1,0,0,0,CTX198602752,1
0,0,0,0,1,0,0,0,0,0,CTX198602991,1
0,0,0,0,1,0,0,0,0,0,CTX198701686,1
12,1,5,0,0,0,0,3,3,1,CTX198702238A,25
2,0,0,0,0,0,0,1,0,0,CTX198804439,3
1,0,0,0,0,0,0,0,0,0,CTX199004318,1
1,0,0,0,0,0,0,0,0,1,CTX199400067,2
32,0,8,0,4,0,0,23,0,2,CTX199400067A,69
30,3,4,8,1,0,1,1,0,0,CTX199400067B,48
1,0,1,0,24,0,0,0,0,1,CTX199400067C,27
0,1,1,0,40,0,1,0,0,0,CTX199400067D,43
50,0,6,0,9,0,0,7,7,8,CTX199706756,87
1,0,0,0,0,0,0,1,0,0,CTX200404964,2
1,0,0,0,0,0,0,0,0,0,CTX200508690,1
0,0,1,0,1,0,0,0,0,0,CTX200605716,2
1,1,0,0,1,0,0,0,0,0,CTX200903109,3
1,0,1,0,0,0,0,0,0,0,CTX200904273,2
2,0,4,0,9,0,0,1,0,2,CTX201404755,18
1,0,0,0,0,0,0,0,0,0,MPY202300001,1
2,1,5,0,4,0,0,2,0,0,MTX195602489,14
4,0,0,0,4,0,0,0,0,1,MTX197001050,9
3,0,0,0,0,0,0,2,0,0,MTX198701704,5
1,0,0,0,0,0,0,0,0,0,MTX198801805,1
0,0,0,0,1,0,0,0,0,0,MTX201890001,1
0,0,1,0,0,0,0,0,0,0,MTX201890034,1
0,0,0,0,1,0,0,0,0,0,MTX201890081,1
1,1,21,0,0,0,0,0,0,0,MTX201891179,23
0,0,0,0,0,0,0,0,0,1,MTX201891607,1
0,0,0,0,1,0,0,0,0,0,MTX201891650,1
0,0,1,0,0,0,0,0,0,0,MTX201891710,1
0,0,1,0,5,0,0,0,0,0,MTX202110009,6
15,0,21,1,0,0,0,0,0,0,MTX202210023c,37
0,0,5,0,9,0,0,0,0,2,MTX202210023d,16
1,0,2,1,12,0,0,3,0,0,MTX202300013,19
2,2,0,2,13,0,0,7,0,0,MTX202300556,26
0,0,0,0,1,0,0,1,0,0,MTX202300587,2
0,0,0,0,6,0,1,1,1,0,MTX202420001,9
4,0,4,0,4,0,0,0,0,1,P009,13
0,0,5,0,1,0,0,0,0,0,P009,6
0,0,9,0,1,0,0,0,0,1,P043,11
