Form,Form-figure,Table,Text-body,Gallery,Figure-text,Table-text,Headers-text,Mixed,Neither,Empty-text,FILE,SIZE
0,0,1,0,0,0,0,0,0,0,0,CTX192601320,1
0,0,1,0,1,0,0,0,0,2,0,CTX192901243,4
0,0,2,0,0,0,0,0,0,1,0,CTX193000229,3
0,0,9,0,0,0,0,0,0,0,0,CTX193102237,9
0,0,1,0,0,0,0,0,0,0,0,CTX194003463,1
0,0,0,0,0,0,0,0,0,1,0,CTX194004617,1
0,1,1,0,0,0,0,0,0,1,0,CTX194103705,3
0,0,0,0,0,1,0,0,0,0,0,CTX194300428,1
0,0,0,0,1,0,0,0,0,0,0,CTX194401342,1
0,0,0,0,0,0,0,0,0,1,0,CTX194501522,1
0,0,0,0,0,0,0,0,0,1,0,CTX194600790,1
2,3,10,3,25,0,0,2,5,10,0,CTX194604301,60
0,0,0,0,0,0,0,0,0,2,0,CTX195105285,2
0,0,0,0,0,1,0,0,0,0,0,CTX195204980,1
0,0,1,8,3,1,0,0,0,2,0,CTX195600870,15
0,0,0,0,1,0,0,0,0,0,0,CTX195802521,1
0,0,0,0,1,0,0,0,1,0,0,CTX197003412,2
0,0,1,0,0,0,0,0,0,0,0,CTX197402976,1
0,0,0,0,1,0,0,0,0,0,0,CTX197802841,1
0,0,0,1,0,0,0,0,0,2,0,CTX197904722,3
1,0,1,0,2,0,0,0,0,0,0,CTX198402735,4
0,0,0,0,0,0,0,1,0,0,0,CTX198602752,1
0,0,0,0,0,1,0,0,0,0,0,CTX198602991_BPP1,1
0,0,0,0,1,0,0,0,0,0,0,CTX198701686,1
1,0,3,0,10,0,0,6,4,1,0,CTX198702238A,25
0,0,0,0,1,0,0,2,0,0,0,CTX198804439,3
0,0,0,0,0,0,0,0,1,0,0,CTX199004318,1
0,0,0,0,1,0,0,0,0,1,0,CTX199400067,2
1,0,5,0,23,0,1,24,11,4,0,CTX199400067A,69
8,0,4,8,13,0,0,1,13,1,0,CTX199400067B,48
0,1,0,0,26,0,0,0,0,0,0,CTX199400067C,27
0,0,1,0,41,0,1,0,0,0,0,CTX199400067D,43
34,0,13,0,10,0,0,8,12,10,0,CTX199706756,87
0,0,0,0,1,0,0,1,0,0,0,CTX200404964,2
2,0,1,0,2,1,0,11,2,3,0,CTX200502635,22
0,0,0,0,0,0,0,0,1,0,0,CTX200508690,1
0,0,1,0,0,1,0,0,0,0,0,CTX200605716,2
0,1,0,0,2,0,0,0,0,0,0,CTX200903109,3
1,0,1,0,0,0,0,0,0,0,0,CTX200904273,2
0,0,0,0,0,0,0,0,0,1,0,CTX201203499,1
2,0,7,4,47,0,0,23,10,9,0,CTX201301452,102
1,0,4,0,9,0,0,1,0,3,0,CTX201404755,18
2,1,9,0,36,0,0,8,9,67,0,CTX201405076,132
27,0,6,2,47,0,0,34,9,17,0,CTX201603571,142
0,0,0,0,0,0,0,0,0,1,0,MPY202200003,1
0,0,0,0,1,0,0,0,0,0,0,MPY202300001,1
0,0,0,0,1,0,0,0,0,0,0,MTX194500462,1
0,0,4,0,6,0,0,2,1,1,0,MTX195602489,14
0,0,0,0,5,1,0,0,2,1,0,MTX197001050,9
0,1,0,0,0,0,0,3,1,0,0,MTX198701704,5
0,0,0,0,0,0,0,0,1,0,0,MTX198801805,1
0,0,0,0,1,0,0,1,2,0,0,MTX200200373,4
0,0,0,0,1,0,0,0,0,0,0,MTX201890001,1
0,0,1,0,1,0,0,0,0,0,0,MTX201890029,2
0,0,1,0,0,0,0,0,0,0,0,MTX201890031,1
0,0,1,0,0,0,0,0,0,0,0,MTX201890034,1
0,0,0,0,1,0,0,0,0,0,0,MTX201890081,1
0,0,0,0,1,0,0,0,0,0,0,MTX201890161,1
0,0,0,0,2,0,0,0,0,0,0,MTX201890345,2
0,0,0,0,0,1,0,0,0,0,0,MTX201890819,1
0,0,0,0,1,0,0,0,0,0,0,MTX201890858,1
0,0,1,0,0,0,0,0,0,0,0,MTX201891050,1
0,0,1,0,1,0,0,0,1,0,0,MTX201891173,3
0,0,21,0,1,0,0,0,1,0,0,MTX201891179,23
0,0,3,0,0,0,0,0,0,0,0,MTX201891306,3
0,0,0,1,0,0,0,0,0,0,0,MTX201891389,1
0,0,0,0,1,0,0,0,0,0,0,MTX201891607,1
0,0,0,0,1,0,0,0,0,0,0,MTX201891650,1
0,0,1,0,0,0,0,0,0,0,0,MTX201891710,1
0,0,1,0,0,0,0,0,0,0,0,MTX201892563,1
0,0,1,0,5,0,0,0,0,0,0,MTX202110009,6
0,0,3,0,24,0,0,0,1,0,0,MTX202210018,28
1,0,30,0,20,0,0,0,0,5,0,MTX202210018a,56
0,0,14,0,82,0,0,0,1,2,0,MTX202210018b,99
0,0,15,6,17,0,0,0,2,4,0,MTX202210018c,44
1,0,36,0,2,0,0,0,2,1,0,MTX202210018d,42
0,0,7,0,4,0,0,0,0,5,0,MTX202210023a,16
0,0,9,0,20,3,1,13,11,4,0,MTX202210023b,61
0,0,21,1,0,0,0,0,15,0,0,MTX202210023c,37
0,0,5,0,9,0,0,0,0,2,0,MTX202210023d,16
0,1,33,0,33,0,0,0,0,3,0,MTX202210023e,70
0,0,6,0,74,0,0,0,1,0,0,MTX202210023f,81
0,4,15,0,3,0,0,0,3,4,0,MTX202210023g,29
1,0,23,0,15,0,0,0,1,8,0,MTX202210033,48
0,0,9,0,2,0,0,0,0,0,0,MTX202210035,11
1,0,0,1,11,1,0,3,0,2,0,MTX202300013,19
0,0,0,2,15,0,0,7,0,2,0,MTX202300556,26
0,0,0,0,1,0,0,1,0,0,0,MTX202300587,2
0,0,0,0,5,1,1,1,1,0,0,MTX202420001,9
1,0,4,0,3,0,0,0,2,3,0,P009_00261,13
1,0,3,0,3,0,0,0,2,1,0,P009_00262,10
0,0,4,0,2,0,0,0,0,0,0,P009_00270,6
0,0,9,0,1,0,0,0,0,1,0,P043_00001_004,11
0,0,2,0,0,0,0,0,0,0,0,P043_00001_009,2
0,0,4,0,0,0,0,0,0,0,0,P043_00001_041,4
1,0,9,0,7,0,0,0,1,0,0,P043_00001_059,18
0,0,5,1,1,0,0,1,0,0,0,P043_00002_003,8
0,1,10,1,2,0,0,0,1,3,0,P043_00002_014,18
